id,released,area,mean_elevation,mean_slope,seed_triangles,volume,thickness,tsunami_potential_ratio,no2d,slopeunit,cluster,cluster_center_dist,LONLO,LONHI,LATLO,LATHI
6740398,"[8811, 12259, 8812, 8810, 8816, 8792, 8808, 10825, 10812, 8807, 10826, 10827, 10813, 8806, 10828, 8813, 10829, 8800]",1899349.750605693,-195.71849060058594,15.483339189980974,"[8811, 12259]",20613369.287228223,10.852855973816682,12.124759310263876,4.154439485811664,-1,59,0.06975832868231549,15.263333403999999,15.437083483,37.76666676000001,37.927083495
4512447,"[6298, 8971, 6296, 10985, 8965, 10984, 8964, 10986, 8967, 8962, 6270, 8966, 6273, 6282, 6271]",1727297.0810344038,-184.11563110351562,13.238970428799421,"[6298, 8971]",18116130.185134567,10.488138018669954,9.011690066384944,3.4756939115173173,-1,63,0.023323608738850157,15.436666895999998,15.681250365,38.003333616000006,38.192917041
3055398,"[4363, 9680, 4309, 9681, 4313, 4310, 9678, 4311, 7063, 7065, 8786, 4308, 8785, 7066, 4317, 8783, 7068, 4318]",2097648.857275663,-255.2452850341797,16.35675042719999,"[4363, 9680]",23594069.473805923,11.24786419422405,10.506133070903362,3.4731053635856126,-1,80,0.06440417012552525,15.268750075,15.418750135,37.79583345,37.927083495
5785186,"[8861, 13334, 12298, 10893, 13335, 12297, 12299, 10895, 13866, 12295, 10896, 13865, 12296, 10840, 10883, 10894, 13864, 12264, 12268, 13863]",2280334.407649547,-289.65167236328125,16.988387861764902,"[8861, 13334]",26431649.980647482,11.591128867757552,10.505456429536775,3.34242809237791,-1,38,0.034963727340118246,15.367500153999998,15.591250273,37.910833542000006,38.100833634
7713588,"[6274, 9017, 9016, 11046, 9018, 11049, 9019, 6277, 11051, 8942, 9007, 8960, 8943, 8961, 11043, 9006, 8945, 11042, 8941]",2392527.0956301377,-271.5105285644531,13.825662249198594,"[6274, 9017]",28215749.825840387,11.793283293374362,8.80266305377548,3.0845359861031434,-1,54,0.038254189312733944,15.436666895999998,15.681250365,38.003333616000006,38.157500346
5368491,"[9954, 11769, 9953, 11768, 4695, 13753, 11774, 9951, 13752, 11775, 9950, 13751, 11771, 8947, 9952, 13017, 7424, 13018]",2026397.7353612944,-299.02166748046875,18.30479173669125,"[9954, 11769]",22510847.201049034,11.108800018983187,9.654815777227654,3.074426001195155,-1,49,0.05919549220455347,15.392083526999999,15.686667036,37.952083575,38.124166986
17433,"[909, 910, 884, 4384, 2450, 4385, 2451, 885, 7125, 2453, 2218, 7124, 4377, 4378]",1713658.749943198,-215.87599182128906,14.27840047834911,[909],17921871.782912858,10.458250094137417,8.081926526759068,3.0576404722735626,-1,37,0.03633393783355457,15.312916776999998,15.463333504,37.825416807,37.977083535
4238980,"[1615, 6191, 6175, 6192, 3620, 3616, 6177, 8828, 6176, 1635, 3619, 3624, 531, 6180, 8829, 3623, 530]",2037329.901663498,-213.33262634277344,11.50261840732579,"[1615, 6191]",22676170.221766803,11.130337901216445,7.340916677283094,2.929318394722737,-1,29,0.051177402421294635,15.317916781,15.624166966,37.784166774000006,38.032083579
7519364,"[4565, 7271, 4566, 7269, 4567, 4568, 7268, 9824, 4571, 4574, 4570, 7299, 4569, 4573, 2402, 4572]",1868011.7658593229,-193.74000549316406,11.123813232619593,"[4565, 7271]",20152202.834252503,10.788049198920374,7.061046550153408,2.9256857830657337,-1,9,0.03457546703238996,15.312916776999998,15.624166966,37.784166774000006,38.009166893999996
8836451,"[8809, 12861, 8805, 12860, 8806, 12862, 9678, 8800, 8782, 8801, 7063, 8786]",1449729.9295192175,-218.63999938964844,16.248164194319717,"[8809, 12861]",14275677.30891823,9.847128777739009,7.78761044950874,2.9096116871509428,-1,13,0.053476578403765705,15.263333403999999,15.437083483,37.76666676000001,37.927083495
1721226,"[10850, 10854, 10849, 8858, 10853, 8862, 10852, 6215, 6214, 8863, 10880, 4692, 8864, 10889, 13020, 10888, 10890, 9957, 10891, 10892, 13021]",2261006.9116116627,-343.9073486328125,18.425906377354668,"[10850, 10854]",26127438.25311322,11.555664920320561,9.336738814567658,2.8936723176826895,-1,23,0.016879979896401012,15.342500153999998,15.686667036,37.910833542000006,38.124166986
7334041,"[8857, 8862, 4693, 8864, 8863, 4692, 9957, 10889, 13020, 10888, 13021, 10892, 13750, 13019, 10885, 13018]",1618603.5472323014,-269.8344421386719,18.397119167412058,"[8857, 8862]",16583543.0757473,10.245586761566164,8.262884678496555,2.8151085982036554,-1,64,0.024510620926532854,15.342500153999998,15.686667036,37.910833542000006,38.124166986
6748003,"[3590, 8811, 3589, 8812, 6140, 8816, 8789, 10825, 8792, 8790, 10826, 10827, 10828, 8813, 8791, 10829, 8452]",1783963.674701313,-273.6199951171875,16.45554060802945,"[3590, 8811]",18929155.077853173,10.61072898865077,7.732065745664159,2.730780140686888,-1,16,0.02476223682914618,15.263333403999999,15.437083483,37.76666676000001,37.927083495
7212217,"[761, 2463, 4313, 2464, 749, 4312, 309, 7064, 750, 7065, 7067, 753, 7066, 2201, 7068, 4317]",1630349.6462860699,-254.73812866210938,16.02309722764459,"[761, 2463]",16747426.660203539,10.272291405928852,7.234013108440614,2.6611005904596343,-1,6,0.06859371681455309,15.268750075,15.486250189,37.795416783,37.941666839999996
6789905,"[10995, 13920, 10994, 12416, 4719, 12415, 7439, 2586, 7440, 4712]",1175517.458438131,-181.02427673339844,14.320958124918231,"[10995, 13920]",10733906.632932004,9.131218388873416,6.202227828348668,2.6367115945526147,-1,52,0.2661537772598732,15.436666895999998,15.681250365,38.003333616000006,38.174167026
7561696,"[10869, 12298, 10870, 12297, 10878, 12296, 10880, 10879, 10881, 10894, 10888, 12299, 10886, 10887, 10883, 12295, 10892]",1765589.65400443,-313.30126953125,18.680525004363595,"[10869, 12298]",18664499.739840697,10.571255726101954,7.755226658838218,2.581905841175217,-1,42,0.039373530956689,15.367500153999998,15.591250273,37.910833542000006,38.100833634
5899379,"[8968, 12455, 12450, 10985, 12454, 10984, 12453, 10986, 10987, 8967, 8962, 6275, 8959, 6273, 8961, 6276, 8960, 8941]",1968062.7199864495,-270.725341796875,13.691383052994917,"[8968, 12455]",21634118.841827046,10.992596232896481,6.6708065431882675,2.5281914985372578,-1,5,0.022449723658067185,15.436666895999998,15.681250365,38.003333616000006,38.157500346
6373490,"[13862, 13891, 14153, 13866, 14154, 13865, 14158, 13863, 13864, 13867, 10895, 12269, 13319, 10896, 12270, 10840, 12271]",1937267.6299907533,-303.83233642578125,15.803178599023155,"[13862, 13891]",21175035.42019689,10.93036144949057,7.013249193327077,2.49549450340854,-1,94,0.039385267867064165,15.367500153999998,15.591250273,37.910833542000006,38.100833634
3909060,"[9947, 11767, 9948, 11766, 11765, 11768, 9946, 11774, 11773, 11775, 11772, 9954, 11771, 9953, 3670, 9952, 13753, 9951, 7424, 7307, 13752, 9950, 13751, 7423]",2417561.630266751,-426.3163757324219,17.955490951617296,"[9947, 11767]",28618029.928372197,11.837559617958743,7.292227901187109,2.305019479709933,-1,22,0.037088277132640714,15.439166877999998,15.607500286,37.97500026,38.124166986
5424093,"[6174, 7265, 8831, 4564, 8832, 4566, 3612, 8829, 2489, 2405, 6181, 2404, 6178, 6180]",1624939.250178247,-217.18707275390625,11.311569329947245,"[6174, 7265]",16671886.89704094,10.260006271134214,5.125360729279396,2.251354264042987,-1,34,0.027297651436355562,15.317916781,15.624166966,37.784166774000006,38.032083579
6292406,"[6141, 12263, 6140, 8816, 8789, 10825, 8790, 10826, 10827, 8813, 8791, 10829]",1260979.838497385,-249.78439331054688,16.8879436549327,"[6141, 12263]",11808896.982222635,9.364857884083548,5.703612493779827,2.230926249151526,-1,70,0.04353462049487801,15.263333403999999,15.437083483,37.76666676000001,37.927083495
5117814,"[11047, 11049, 11050, 11051, 9019, 11034, 9007, 11045, 9005, 11043, 9006, 11042, 8943, 11040]",1950589.4723273471,-305.971435546875,13.998588669298146,"[11047, 11049]",21373313.25567773,10.95736112539157,5.768061454701467,2.2006918226219074,-1,71,0.05265036852565948,15.414166877999998,15.681250365,37.97500026,38.157500346
5076302,"[7222, 7229, 3641, 7223, 7226, 3645, 7225, 4499, 4498, 3644, 2337, 1667, 4500, 2340, 1668, 8872, 3642, 1666]",2142445.843743402,-320.6994323730469,13.362159295353097,"[7222, 7229]",24281955.533041295,11.333754644931652,5.698197142241318,2.1683779718955805,-1,4,0.03742543760249462,15.367500153999998,15.601666948,37.892083527000004,38.100833634
7984268,"[9680, 11564, 9681, 11561, 9678, 4310, 12861, 7063, 12864, 4311, 8786, 4308, 8785, 7065]",1669981.1208320393,-324.0531311035156,16.817846314755407,"[9680, 11564]",17303501.037872814,10.361495002561252,5.795337973447704,2.1162387750939393,-1,62,0.025356374499203155,15.268750075,15.418750135,37.79583345,37.927083495
4236641,"[1615, 6191, 6175, 6192, 8828, 3616, 8829, 3617, 1635, 3618, 3624, 532, 3625]",1617222.7743671034,-235.639404296875,11.742652464034006,"[1615, 6191]",16564306.344232945,10.242439450381442,4.832283954809234,2.106881703471775,-1,39,0.020951159865461946,15.317916781,15.624166966,37.784166774000006,38.032083579
320581,"[7272, 7271, 7269, 4568, 7268, 9824, 4574, 4573, 4572, 4563]",1171567.7861321599,-170.8283233642578,10.816662741134419,[7272],10684887.482730988,9.120161555488236,4.258127810768688,2.0978068977286433,-1,66,0.349440011882582,15.312916776999998,15.624166966,37.784166774000006,38.009166893999996
1125145,"[3409, 5856, 3410, 5854, 3407, 5853, 1483, 3413, 1482, 3335, 3420, 3340, 3419, 3334, 480, 3339]",1916988.0472509782,-345.1494445800781,15.552412330711553,"[3409, 5856]",20874142.817853432,10.889031284147867,5.65031681844351,2.0722788840391764,-1,41,0.05966039755001233,15.196666683999998,15.484166854,37.678750023000006,37.86250011
3320383,"[4694, 11768, 4696, 11774, 13754, 11775, 13753, 13750, 13752, 9954, 11780, 9953, 11781, 9951]",1528363.372378928,-347.1426696777344,19.43067800631581,"[4694, 11768]",15338908.773018712,10.036166169792068,5.893594505793657,2.0450901356805704,-1,10,0.03293573801529965,15.392083526999999,15.686667036,37.952083575,38.124166986
198299,"[4774, 4749, 4767, 4768, 4769, 4770, 7450, 9990, 4735, 9989, 9991]",1273535.4249011849,-256.5150146484375,15.773898968604334,[4774],11969093.521369422,9.398320052461923,4.993111123560636,2.0361198174009365,-1,40,0.18411917267858346,15.570000335999998,15.686667036,37.967083587000005,38.081666952
3223944,"[9037, 12451, 8969, 12450, 8968, 6309, 12453, 6274, 9017, 6275, 9016, 11046, 9018, 6276, 11049, 9019, 6277, 11051, 9005, 8959, 8943]",2497076.6210059724,-389.7673645019531,13.609406298044895,"[9037, 12451]",29905674.427851643,11.976274246564305,5.521585323588593,2.014141959836642,-1,32,0.021098344935029118,15.436666895999998,15.681250365,38.003333616000006,38.157500346
1802689,"[2836, 10307, 2840, 7958, 5162, 2839, 10336, 7959, 10337, 7957, 2837, 7961, 5170]",1520757.4962231026,-298.0264587402344,15.507276645257743,"[2836, 10307]",15235187.846859828,10.018157322714096,5.02694249907902,1.9761239708994656,-1,76,0.12557392406208193,15.676667087999999,15.796667123999999,37.835416815,37.959166853999996
3998987,"[1639, 2492, 1640, 1638, 3627, 2359, 3628, 3630, 3632, 2356, 3629, 2358, 2357, 6198, 3631, 6197, 2350]",1966572.7741664299,-292.0787658691406,11.778916199558443,"[1639, 2492]",21611847.290682517,10.989599558472031,4.710560678244184,1.9596504531066368,-1,68,0.027842663244194828,15.317916781,15.624166966,37.78791677700001,38.100833634
1112213,"[5861, 8484, 5859, 5860, 5857, 5858, 3417, 8493, 3420, 8494, 3419, 8496, 5841, 480, 3418]",1572158.557760591,-256.981201171875,12.390262071623512,"[5861, 8484]",15939742.000104412,10.138762354103296,4.497643841827504,1.9471175025776661,-1,88,0.04229726008156719,15.196666683999998,15.484166854,37.678750023000006,37.86250011
5451480,"[7998, 8004, 7999, 8003, 8005, 5192, 8006, 11990, 5200, 11989, 2852, 11991, 2856]",1568197.6648135886,-356.24847412109375,18.581034912645528,"[7998, 8004]",15885151.15003355,10.129559242725831,5.480339925035798,1.9465846412900498,-1,56,0.029176764023963197,15.475000259999998,15.686667036,37.890416859000005,38.073333612
8717453,"[10374, 13174, 10416, 13173, 10414, 10415, 1122, 13171, 13170, 10413, 13169, 12005, 13172, 12007, 12006]",1660678.702605633,-387.7714538574219,19.531710145363135,"[10374, 13174]",17172546.364767797,10.340679589509868,5.710540290042181,1.9420450041490176,-1,48,0.03848534385502934,15.562500329999999,15.762917096999999,37.829583477,38.018333567999996
1399949,"[10938, 13369, 10936, 13368, 13367, 10937, 13365]",824632.2095834935,-170.58700561523438,13.731005001927395,"[10938, 13369]",6627660.590644348,8.037110985504505,3.884754655659971,1.9174869448712655,-1,85,0.12666848430984157,15.477916909,15.646250317,38.047916985,38.192917041
5105737,"[11766, 11770, 11768, 9946, 11769, 11774, 11773, 11775, 11772, 9954, 11771, 3670, 9952, 9953, 7424, 7307, 9950, 7423]",1963216.9558633547,-421.3182373046875,18.068625560387794,"[11766, 11770]",21561707.126843724,10.982844795857844,5.641106979286492,1.9171480511486518,-1,75,0.016305907860299056,15.439166877999998,15.607500286,37.97500026,38.124166986
3564439,"[12285, 13341, 10868, 13340, 13342, 13339, 8861, 10870, 13338, 12298, 13337, 10878, 13336, 12299, 10880, 13334, 10879, 10881, 10893, 12295]",2455863.562267241,-464.3715515136719,16.08561096489787,"[12285, 13341]",29236408.4118801,11.90473642798348,5.54662462787876,1.8881733264534157,-1,83,0.03277785045328938,15.367500153999998,15.591250273,37.910833542000006,38.100833634
585304,"[10855, 10851, 10854, 10850, 10853, 10849, 8858, 10852, 6214, 8862, 6215, 4692, 8863, 10889, 13020, 10890]",1787792.6641882847,-400.33502197265625,18.233843265053178,[10855],18984430.9980472,10.618922081027076,5.408445474719899,1.8799744147345585,-1,33,0.02287280501579607,15.342500153999998,15.686667036,37.910833542000006,38.124166986
1131749,"[12310, 12317, 12309, 12300, 13349, 10909, 8873, 13348, 10841, 14155, 10843, 13351, 10842, 14156, 10926, 14157, 13870]",1970389.2048645595,-399.1768493652344,16.28464446546487,"[12310, 12317]",21668907.028782334,10.997272506003103,5.1671055101386205,1.8589868315385614,-1,95,0.03123647939906945,15.367500153999998,15.585416935,37.910833542000006,38.100833634
